service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
265105005,1,1,1,1,1,0,0,20240513,20240607
264938503,0,0,0,0,0,1,0,20240518,20240601
267828504,0,0,0,0,0,1,0,20240608,20240608
264940603,0,0,0,0,0,0,1,20240519,20240609
265164604,0,0,0,0,0,0,1,20240526,20240526
267682006,1,1,1,1,1,0,0,20240605,20240605
262523000,1,1,1,1,1,0,0,20240513,20240607
262366500,0,0,0,0,0,1,0,20240518,20240608
262213600,0,0,0,0,0,0,1,20240519,20240609
267773602,0,0,0,0,0,0,1,20240526,20240526
262524000,1,1,1,1,1,0,0,20240513,20240607
262365500,0,0,0,0,0,1,0,20240518,20240608
262212600,0,0,0,0,0,0,1,20240519,20240609
264459002,1,1,1,1,1,0,0,20240513,20240527
264446601,0,0,0,0,0,0,1,20240519,20240609
262525000,1,1,1,1,1,0,0,20240514,20240606
262211600,0,0,0,0,0,0,1,20240602,20240602
264445001,1,1,1,1,1,0,0,20240517,20240607
264444501,0,0,0,0,0,1,0,20240518,20240608
262364500,0,0,0,0,0,1,0,20240601,20240601
261730600,0,0,0,0,0,0,1,20240519,20240520
262001000,1,1,1,1,1,0,0,20240513,20240531
264296002,1,1,1,1,1,0,0,20240517,20240524
269149602,0,0,0,0,0,0,1,20240602,20240609
263505501,0,0,0,0,0,1,0,20240518,20240525
